X,Y,Z,Heading
400,1061,461,69.34341522096145
415,1050,463,68.43418038458469
675,1426,17,64.66937056240869
505,1640,-558,72.88499687099977
-1145,793,-730,145.294439461431
-1155,793,-720,145.52728292068446
-1115,727,-750,146.89492843954963
-1160,1052,-722,137.7952234102628
-1102,1015,-792,137.35329686610828
-1100,1335,-665,129.48750008412202
-695,47,-503,176.1312118711171
-865,172,-608,168.753771946597
7,0,-343,0.0
995,1571,346,57.65168884280814
597,936,662,57.46943386562407
592,926,586,57.40885859022279
572,946,523,58.840695491655595
537,946,496,60.418447164623444
527,951,483,61.00681711682262
507,1581,-685,72.21983157934568
-932,650,-966,145.10712164253084
-1172,700,-655,149.15141070882936
-1182,741,-645,147.9162547078658
-1182,743,-642,147.84671213954954
-1162,715,-660,148.39524891957598
-1147,720,-657,147.88250089808446
-1152,717,-652,148.10203786035845
-1165,746,-642,147.36680310927517
-1060,761,-847,144.32450634491602
-885,968,-1031,132.4353086345236
472,1731,-348,74.74768208784349
492,1411,235,70.77690498334732
477,1342,237,70.43277035692881
452,1312,260,70.9905457510036
390,1312,292,73.44509752240197
742,1746,-45,66.97589775496442
515,682,-820,52.94237990085577
-432,5,-538,179.33688401288646
-745,91,-608,173.0359530262524
-327,2,-583,179.64957146734582
635,1197,-7,62.054366981255725
647,1137,-107,60.35833465386213
-72,-2,-363,181.59114027119458
-490,-20,-155,182.3373058591238
-755,220,257,163.75436695452572
-875,598,478,145.6501829643057
-1002,555,356,151.0182727116768
-1010,360,140,160.38212059188174
-885,296,227,161.5068040475203
-592,313,448,152.13386555915486
-225,313,508,125.71046309301482
-22,327,503,93.84896164518887
295,451,371,56.81122089322065
405,286,-87,35.22870003008967
317,195,-242,31.59741673684539
267,146,-343,28.67056536593401
-177,32,-593,169.7521358888897
-400,57,-715,171.88995217058095
-417,103,-765,166.1255171963378
-545,303,-947,150.92754674900397
-732,372,-920,153.06047193619918
-982,162,-247,170.63231890099928
-1017,400,257,158.52960747704208
-957,448,366,154.91431624166216
-1042,411,-692,158.47404886978347
-547,487,-1048,138.32098267586161
-85,268,-922,107.5971624915112
-252,25,130,174.33443300609042
-505,207,441,157.71122748493747
-440,313,541,144.5733364965779
-157,345,558,114.46897476987994
-122,431,601,105.80483615956445
-625,418,563,146.2253943140272
-962,397,321,157.57494588063764
-852,190,157,167.42847675737585
-785,70,-508,174.90430008044143
-567,70,-631,172.96205923681532
-652,121,217,169.48649704243064
-487,237,446,154.04999136956292
-145,352,581,112.3883213327316
-162,527,677,107.08744805742293
-217,1096,955,101.19930358312678
137,722,315,79.25582011280954
1022,-1820,1036,299.3158859729592
1447,40,785,1.5834469071536432
1257,423,468,18.59888479763032
1252,416,466,18.380015206472535
1257,397,458,17.527749823541455
1252,397,443,17.59343877242901
1272,397,443,17.333504144856647
1257,400,453,17.652005607580122
1272,400,438,17.456558133666874
1270,400,448,17.48237518212153
1282,402,411,17.40999243434186
1272,390,451,17.045737164725494
1280,380,433,16.534837857345167
1275,372,431,16.265381414072465
1280,372,428,16.20518537147177
1285,377,436,16.350908545864172
1282,382,466,16.592578864785708
